,crate_name,crate_hash,def_path,def_path_hash,summary_key,unsafe_reason
1053933,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[99]::hash[0],1a21d8d68975174c2632965fc6181ff,rust_extra.arrays.implement_arrays.hash,borrow of packed field
1065441,rpcap,a3d6e496773bad52,rpcap[f8c1]::def[0]::{{impl}}[9]::switch_endianness[0],7a2b470b3b7dbe89400d40fb254ca08e,rpcap.def.implement_def.switch_endianness,borrow of packed field
1067625,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[9]::into_iter[0],f0ab8921f6df02102889986d037ebdc6,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
1069661,rpcap,a3d6e496773bad52,rpcap[f8c1]::def[0]::{{impl}}[4]::swap_bytes[0],24dfa3e6aa3540c7d10b7d55add1db82,rpcap.def.implement_def.swap_bytes,borrow of packed field
1096040,minidump,e5761667c9fbc72f,minidump[cf38]::context[0]::{{impl}}[2]::print[0],fae137523b458cafb22ce876063e92a0,minidump.context.implement_context.print,borrow of packed field
1101966,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[130]::as_mut_ptr[0],e8f9700273bd3f1d25857d3c5d275936,rust_extra.arrays.implement_arrays.as_mut_ptr,borrow of packed field
1114064,zfs,54b2e16997fa8427,zfs[576d]::dnode[0]::{{impl}}[2]::fmt[0],c32836a4796e1a7e54153c8f00a2d109,zfs.dnode.implement_dnode.fmt,borrow of packed field
1121237,vec_2_10_10_10,be8a6327bad81661,vec_2_10_10_10[f789]::{{impl}}[0]::raw_value[0],ede944df1e423bccf044e625b622d600,vec_2_10_10_10.implement.raw_value,borrow of packed field
1121785,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[123]::gt[0],f04c3eac3bca10f614759c8b8fbdfe2,rust_extra.arrays.implement_arrays.gt,borrow of packed field
1128738,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[69]::eq[0],8542208a4eebc159f462e62d5f753d62,rust_extra.arrays.implement_arrays.eq,borrow of packed field
1138319,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[152]::into_iter[0],42e163bdfa96e21d42b7d974f13033c3,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
1152274,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[123]::le[0],a27eeb1c2499581018bd4c820207ad89,rust_extra.arrays.implement_arrays.le,borrow of packed field
1218476,pe,d772e081044817cc,pe[5631]::utility[0]::{{impl}}[40]::fmt[0],35ce4c4d5eb5c1ccbf712088b5a81972,pe.utility.implement_utility.fmt,borrow of packed field
1241071,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[91]::get_unchecked_mut[0],63ed61e68cd0e104e1143143558dcb,rust_extra.arrays.implement_arrays.get_unchecked_mut,borrow of packed field
1254713,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[113]::into_iter[0],6229d416cd2291c4195c60c7c2f4b96f,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
1255070,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[65]::get_unchecked_mut[0],c87855bdfb3c3ea242ddb384cce56e,rust_extra.arrays.implement_arrays.get_unchecked_mut,borrow of packed field
1264015,pe,d772e081044817cc,pe[5631]::{{impl}}[0]::get_size_of_headers[0],2439daf21555f764484d77a0e74aed6d,pe.implement.get_size_of_headers,borrow of packed field
1266517,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[126]::into_iter[0],ebb4244a73f9e19539a3cc0dfd42e091,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
1267291,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[52]::as_ptr[0],f75dd4d69bfdedc44054ca1f525a903b,rust_extra.arrays.implement_arrays.as_ptr,borrow of packed field
1281235,minidump,e5761667c9fbc72f,minidump[cf38]::minidump[0]::{{impl}}[12]::print[0],601de73811abc141780f325dc1d2782d,minidump.minidump.implement_minidump.print,borrow of packed field
