,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
472325,28662,jobserver,0.1.19,jobserver,13c02022862f95,2015,129889222,46701242,41880954,Root,{{root}},src/lib.rs,712,16,UnsafeBlockUserProvided,40239768,Normal,Rust,std,std[5a7f]::sys[0]::unix[0]::ext[0]::thread[0]::JoinHandleExt[0]::as_pthread_t[0],std.sys.unix.ext.thread.JoinHandleExt.as_pthread_t,True,True,True,False,False,False
741715,59070,joinkit,0.2.0,mjoin,dfcb444c1fd77fb5,2015,269580480,96953002,86799700,Root,{{root}},src/bin/mjoin.rs,205,22,UnsafeBlockUserProvided,83420073,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
741757,59072,joinkit,0.2.0,hjoin,819d0591b5da3ed6,2015,269582505,96953552,86800189,Root,{{root}},src/bin/hjoin.rs,203,17,UnsafeBlockUserProvided,83420706,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
367100,18144,kiss3d,0.22.1,kiss3d,dca6ce6ca1894d72,2015,81906294,29144585,26153763,Root,{{root}},src/builtin/object_material.rs,102,8,UnsafeBlockUserProvided,25292029,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
376896,19259,kompact,0.8.1,kompact,821610bad22891c0,2018,86613853,30961153,27795105,Root,{{root}},src/runtime.rs,347,8,UnsafeBlockUserProvided,26900153,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True,True,True,False,False,False
1013747,96001,kontrak-sqlite,0.1.4,kontrak_sqlite,c1958664283c1de2,2015,434555708,156859891,140520619,Root,{{root}},src/connection.rs,64,8,UnsafeBlockUserProvided,135190655,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
815417,66379,lazysort,0.2.1,lazysort,9301bc4ca46a9786,2015,300612675,108567874,97245359,Root,{{root}},src/lib.rs,41,4,UnsafeBlockUserProvided,93229935,Normal,Rust,core,core[e667]::cmp[0]::PartialEq[0]::eq[0],core.cmp.PartialEq.eq,True,True,True,False,False,False
437986,25746,ledger,0.2.5,ledger,5878538ff658c44e,2015,115548711,41315862,37172657,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/ledger-0.2.5/src/lib.rs,396,8,UnsafeBlockUserProvided,35795734,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True,True,True,False,False,False
526116,33727,libass,0.1.3,libass,fa5865e46df213b3,2018,155161727,55326280,49511947,Root,{{root}},src/library.rs,53,8,UnsafeBlockUserProvided,47761007,Normal,Rust,core,core[e667]::iter[0]::traits[0]::iterator[0]::Iterator[0]::map[0],core.iter.traits.iterator.Iterator.map,True,True,True,False,False,False
389209,21263,libcwa,0.1.0,libcwa,d27195969d8aee0d,2015,95258847,34010193,30544211,Root,{{root}},src/lib.rs,137,12,UnsafeBlockUserProvided,29574299,Normal,Rust,core,core[e667]::ops[0]::index[0]::IndexMut[0]::index_mut[0],core.ops.index.IndexMut.index_mut,True,True,True,False,False,False
1020137,97413,libyaml,0.1.0,libyaml,7b935f131a204f1,2018,441033101,159109389,142610451,Root,{{root}},src/event.rs,213,8,UnsafeBlockUserProvided,137126525,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::into_result[0],core.ops.try.Try.into_result,True,True,True,False,False,False
402078,23126,libicmp,0.1.2,libicmp,487145c31f6ce394,2015,103786695,37032994,33329102,Root,{{root}},src/socket.rs,44,8,UnsafeBlockUserProvided,32176255,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True,True,True,False,False,False
271150,12232,libperl-rs,0.2.0,libperl_rs,985e6ab36d54ca37,2018,56637722,20159925,18066429,Root,{{root}},src/perl.rs,44,4,UnsafeBlockUserProvided,17403575,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
233871,9586,libxdo,0.6.0,libxdo,7b67aa18265af6ec,2015,44815284,15928287,14291700,MacroBang,xdo!,src/lib.rs,106,8,UnsafeBlockUserProvided,13789291,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
